File,Violation,Line,Column,Check,Entity
"Bitwalker.c","U suffix not applied or is not capitalized for unsigned octal or hexadecimal literal 3.","38","24","10.6 A U suffix shall be applied to all constants of unsigned type","Bitwalker_Peek"
"Bitwalker.c","U suffix not applied or is not capitalized for unsigned octal or hexadecimal literal 0x01.","55","17","10.6 A U suffix shall be applied to all constants of unsigned type","Bitwalker_Poke"
"Bitwalker.c","Identifier retval reused","100","12","5.7 No identifier name should be reused","retval"
"Bitwalker.c","Identifier retval reused","85","17","5.7 No identifier name should be reused","retval"
"Bitwalker.c","Identifier Startposition reused","48","33","5.7 No identifier name should be reused","Startposition"
"Bitwalker.c","Identifier Locals reused","106","76","5.7 No identifier name should be reused","Locals"
"Bitwalker.c","Identifier Startposition reused","26","38","5.7 No identifier name should be reused","Startposition"
"Bitwalker.c","Identifier Value reused","48","134","5.7 No identifier name should be reused","Value"
"Bitwalker.c","Identifier Value reused","97","112","5.7 No identifier name should be reused","Value"
"Bitwalker.c","Identifier retval reused","33","17","5.7 No identifier name should be reused","retval"
"Bitwalker.c","Identifier i reused","35","21","5.7 No identifier name should be reused","i"
"Bitwalker.c","Identifier i reused","60","12","5.7 No identifier name should be reused","i"

