Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,5,1615,1064,1018,16,239,648,312,4636,0,0
C:\Users\idelatorre.BIO-SQS\Desktop\Bitwalker,5,1615,1064,1018,16,239,648,312,4636,0,0
